Year,Leading Cause,Sex,Race Ethnicity,Deaths,Death Rate,Age Adjusted Death Rate
2011,Nephritis and Related Diseases,F,Black Non-Hispanic,83.0,7.9,6.9
2009,HIV (Human Immunodeficiency Virus Disease),F,Hispanic,96.0,8.0,8.1
2009,Other Causes,F,Hispanic,155.0,12.9,16.0
2008,Diseases of Heart,F,Hispanic,1445.0,122.3,160.7
2009,Other Causes,F,Asian and Pacific Islander,14.0,2.5,3.6
2008,Other Causes,F,Asian and Pacific Islander,36.0,6.8,8.5
2012,Other Causes,M,White Non-Hispanic,286.0,21.4,18.8
2008,Assault (Homicide),M,Not Stated/Unknown,8.0,,
2009,Other Causes,M,White Non-Hispanic,371.0,27.6,23.3
2013,Diseases of Heart,F,Not Stated/Unknown,106.0,,
2014,Other Causes,F,Asian and Pacific Islander,42.0,6.7,6.9
2009,Nephritis and Related Diseases,F,Other Race/ Ethnicity,,,
2013,Other Causes,F,Hispanic,120.0,9.6,11.0
2011,Malignant Neoplasms (Cancer),F,Other Race/ Ethnicity,33.0,,
2009,Essential Hypertension and Renal Diseases,F,Hispanic,84.0,7.0,8.8
2007,Diabetes Mellitus,M,Other Race/ Ethnicity,11.0,,
2007,Cerebrovascular Disease (Stroke),M,White Non-Hispanic,267.0,20.0,16.7
2012,Other Causes,F,White Non-Hispanic,177.0,12.5,8.5
2007,Diseases of Heart,F,Not Stated/Unknown,82.0,,
2007,Other Causes,F,Hispanic,116.0,9.9,12.8
2014,Nephritis and Related Diseases,F,Black Non-Hispanic,90.0,8.6,7.1
2014,Cerebrovascular Disease (Stroke),F,Not Stated/Unknown,10.0,,
2007,Nephritis and Related Diseases,F,Asian and Pacific Islander,13.0,2.5,3.2
2010,Other Causes,F,Asian and Pacific Islander,25.0,4.4,5.1
2011,Intentional Self-Harm (Suicide),F,Other Race/ Ethnicity,,,
2008,Cerebrovascular Disease (Stroke),M,Hispanic,124.0,11.2,18.8
2007,Malignant Neoplasms (Cancer),F,Hispanic,969.0,83.0,100.7
2007,Other Causes,M,White Non-Hispanic,345.0,25.8,21.7
2012,Cerebrovascular Disease (Stroke),M,Black Non-Hispanic,170.0,19.9,23.3
2008,Intentional Self-Harm (Suicide),M,Other Race/ Ethnicity,,,
2007,Other Causes,M,Other Race/ Ethnicity,24.0,,
2014,Other Causes,F,Asian and Pacific Islander,36.0,5.8,6.3
